timestamp,rank,division,population_count
2025-02-08T12:19:48.390287,eternity,total,180
2025-02-08T12:19:48.390287,one_above_all,total,519
2025-02-08T19:46:38.766589,bronze,1,229823
2025-02-08T19:46:38.766589,bronze,2,266490
2025-02-08T19:46:38.766589,bronze,3,998536
2025-02-08T19:46:38.766589,silver,1,191530
2025-02-08T19:46:38.766589,silver,2,217705
2025-02-08T19:46:38.766589,silver,3,251487
2025-02-08T19:46:38.766589,gold,1,139928
2025-02-08T19:46:38.766589,gold,2,167389
2025-02-08T19:46:38.766589,gold,3,237031
2025-02-08T19:46:38.766589,platinum,1,58464
2025-02-08T19:46:38.766589,platinum,2,93488
2025-02-08T19:46:38.766589,platinum,3,159164
2025-02-08T19:46:38.766589,diamond,1,15519
2025-02-08T19:46:38.766589,diamond,2,26559
2025-02-08T19:46:38.766589,diamond,3,54004
2025-02-08T19:46:38.766589,grandmaster,1,4265
2025-02-08T19:46:38.766589,grandmaster,2,7358
2025-02-08T19:46:38.766589,grandmaster,3,18015
2025-02-08T19:46:38.766589,celestial,1,741
2025-02-08T19:46:38.766589,celestial,2,1567
2025-02-08T19:46:38.766589,celestial,3,4081
2025-02-08T19:46:38.766589,eternity,total,211
2025-02-08T19:46:38.766589,one_above_all,total,506
2025-02-09T00:59:18.529342,bronze,1,233343
2025-02-09T00:59:18.529342,bronze,2,271534
2025-02-09T00:59:18.529342,bronze,3,1020544
2025-02-09T00:59:18.529342,silver,1,193559
2025-02-09T00:59:18.529342,silver,2,220300
2025-02-09T00:59:18.529342,silver,3,254890
2025-02-09T00:59:18.529342,gold,1,141229
2025-02-09T00:59:18.529342,gold,2,169005
2025-02-09T00:59:18.529342,gold,3,239384
2025-02-09T00:59:18.529342,platinum,1,59153
2025-02-09T00:59:18.529342,platinum,2,94532
2025-02-09T00:59:18.529342,platinum,3,160743
2025-02-09T00:59:18.529342,diamond,1,15812
2025-02-09T00:59:18.529342,diamond,2,26977
2025-02-09T00:59:18.529342,diamond,3,54825
2025-02-09T00:59:18.529342,grandmaster,1,4403
2025-02-09T00:59:18.529342,grandmaster,2,7549
2025-02-09T00:59:18.529342,grandmaster,3,18381
2025-02-09T00:59:18.529342,celestial,1,769
2025-02-09T00:59:18.529342,celestial,2,1591
2025-02-09T00:59:18.529342,celestial,3,4169
2025-02-09T00:59:18.529342,eternity,total,246
2025-02-09T00:59:18.529342,one_above_all,total,498
2025-02-09T06:15:12.924014,bronze,1,233343
2025-02-09T06:15:12.924014,bronze,2,271534
2025-02-09T06:15:12.924014,bronze,3,1020544
2025-02-09T06:15:12.924014,silver,1,193559
2025-02-09T06:15:12.924014,silver,2,220300
2025-02-09T06:15:12.924014,silver,3,254890
2025-02-09T06:15:12.924014,gold,1,141229
2025-02-09T06:15:12.924014,gold,2,169005
2025-02-09T06:15:12.924014,gold,3,239384
2025-02-09T06:15:12.924014,platinum,1,59153
2025-02-09T06:15:12.924014,platinum,2,94532
2025-02-09T06:15:12.924014,platinum,3,160743
2025-02-09T06:15:12.924014,diamond,1,15812
2025-02-09T06:15:12.924014,diamond,2,26977
2025-02-09T06:15:12.924014,diamond,3,54825
2025-02-09T06:15:12.924014,grandmaster,1,4403
2025-02-09T06:15:12.924014,grandmaster,2,7549
2025-02-09T06:15:12.924014,grandmaster,3,18381
2025-02-09T06:15:12.924014,celestial,1,769
