player_uid,player_name,highest_score,latest_score,matches,wins
1696795222,Unknown,NaN,NaN,0,0
1517712368,JunkInTheTrunk,3000,3000,37,17
637265490,Unknown,NaN,NaN,0,0
1070018326,Pnaepkin,3000,3000,133,75
399944772,iHuffPaint,4661,4661,164,87
935132189,Desspray,5016,5016,293,170
1663588665,AsunaC22,4612,4612,154,81
689805253,Unknown,NaN,NaN,0,0
332151224,Unknown,NaN,NaN,0,0
32015585,Unknown,NaN,NaN,0,0
811468844,Unknown,NaN,NaN,0,0
665905885,Unknown,NaN,NaN,0,0
715083985,Unknown,NaN,NaN,0,0
1349032367,Unknown,NaN,NaN,0,0
811336683,Unknown,NaN,NaN,0,0
1115797101,GROOTGOD69,5019,5019,150,90
868283663,ByAdel,4661,4661,185,103
135948804,Ṛubi,4937,4937,483,246
685274894,Flatsow,5013,5013,365,194
125771877,Unknown,NaN,NaN,0,0
872644290,FriedPyper,3000,3000,52,32
1488109467,BussinBruce62,4679,4679,183,104
1810133310,rockeater9,4602,4602,186,105
346670726,Unknown,NaN,NaN,0,0
187796761,Unknown,NaN,NaN,0,0
1654840485,Unknown,NaN,NaN,0,0
2021653481,Unknown,NaN,NaN,0,0
1641233853,Unknown,NaN,NaN,0,0
313225145,superheroking,4971,4971,197,116
2097355010,emongg,4868,4868,426,231
2087854218,Unknown,NaN,NaN,0,0
445768370,Jahbuty,4896,4896,333,177
149374040,Thyasian,4922,4922,443,231
1340887080,AstroPlace,4898,4898,455,307
38823398,asdcvfj2894wr2,4812,4812,90,59
1120459334,ت .,4699,4699,247,127
1226711570,Choqo1ate,4996,4996,275,154
611409404,8ees,4542,4542,152,81
1208212003,Unknown,NaN,NaN,0,0
1618092283,Unknown,NaN,NaN,0,0
1194003516,Unknown,NaN,NaN,0,0
926263013,Unknown,NaN,NaN,0,0
293725307,Unknown,NaN,NaN,0,0
130236984,Scorcher,4648,4648,48,34
2001246000,Unknown,NaN,NaN,0,0
1760566767,Paradoxedgg,5007,5007,362,215
1808079590,Unknown,NaN,NaN,0,0
1778983393,Unknown,NaN,NaN,0,0
951313228,Unknown,NaN,NaN,0,0
403798538,Unknown,NaN,NaN,0,0
1710013630,Hitmanxd,4564,4564,81,54
962314627,Unknown,NaN,NaN,0,0
